replicate ,temp,age_gp,inoc,CollD5,RhizD5,coinfectedD5,plaD5,tillersD5,CollD7,RhizD7,coinfectedD7,plaD7,tillersD7,CollD10,RhizD10,coinfectedD10,plaD10,tillersD10,CollD12,RhizD12,coinfectedD12,plaD12,tillersD12,CollD15,RhizD15,coinfectedD15,plaD15,tillersD15,CollD20,RhizD20,coinfectedD20,plaD20,tillersD20,dry.biomass,plant_ID
4,21,o,r,0,1,0,20,3,0,1,0,20,2,0,1,0,25,3,0,1,0,50,3,0,1,0,25,3,0,1,0,10,3,,488
5,29,y,c,0,0,0,0,4,1,0,0,1,4,0,0,0,0,4,1,0,0,0.5,5,0,0,0,0,5,1,0,0,1,4,0.33,524
5,29,y,c,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,1,0,0,0,0,4,1,0,0,1,5,0.56,525
5,29,y,c,0,0,0,0,7,0,0,0,0,5,0,0,0,0,6,0,0,0,0,5,0,0,0,0,5,1,0,0,1,6,0.3,526
5,29,y,c,0,0,0,0,4,1,0,0,1,4,0,0,0,0,4,1,0,0,1,5,1,0,0,0.5,5,1,0,0,1,4,0.33,530
5,29,y,c,0,0,0,0,7,1,0,0,1,5,1,0,0,5,6,1,0,0,0.5,5,1,0,0,0.5,5,1,0,0,1,6,0.3,532
5,29,y,c,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,2,1,1,0,0,1,2,0.07,534
5,29,y,c,0,0,0,0,3,1,0,0,0.5,3,0,0,0,0.5,3,1,0,0,0.5,1,1,0,0,2,1,1,0,0,1,3,0.27,536
5,29,o,r,0,0,0,0,3,0,1,0,1,3,0,1,0,1,3,0,1,0,5,3,0,1,0,5,3,0,1,0,10,3,0.81,583
5,29,y,r,0,1,0,1,5,0,1,0,1,5,0,1,0,15,6,0,1,0,5,5,0,1,0,5,5,0,1,0,10,5,0.53,603
5,29,y,r,0,1,0,2,3,0,1,0,20,4,0,1,0,1,5,0,1,0,10,5,0,1,0,10,5,0,1,0,10,5,0.48,606
5,29,y,r,0,1,0,2,3,0,1,0,2,4,0,1,0,1,6,0,1,0,6,5,0,1,0,6,5,0,1,0,10,6,0.59,614
5,29,y,rc,0,1,0,1,5,0,1,0,0.5,4,0,1,0,5,4,0,1,0,5,4,0,1,0,5,4,0,1,0,10,4,0.35,642
6,21,o,r,0,1,0,15,8,0,1,0,1,10,0,1,0,1,10,0,1,0,2,10,0,1,0,5,10,0,1,0,10,9,,692
6,21,y,r,0,1,0,30,1,0,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,1,0,20,2,0,1,0,10,4,0.22,712
6,21,y,r,0,0,0,0,1,0,0,0,0,2,0,1,0,5,2,0,1,0,1,3,0,1,0,2,3,0,1,0,10,3,1.74,722
6,21,y,r,0,1,0,5,2,0,1,0,8,2,0,1,0,8,2,0,1,0,2,2,0,1,0,10,2,0,1,0,10,2,,775
6,21,y,r,0,1,0,5,2,0,1,0,2,2,0,1,0,2,2,0,1,0,5,2,0,1,0,10,4,0,1,0,10,4,,805
6,21,o,c,0,0,0,0,3,1,0,0,0.5,3,1,0,0,0.5,3,0,0,0,0,3,0,0,0,0,3,1,0,0,1,3,,662
6,21,o,c,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,1,0,0,1,5,,663
6,21,o,c,0,0,0,0,3,0,0,0,0,3,1,0,0,0.5,3,1,0,0,1,3,1,0,0,1,3,1,0,0,1,3,,665
6,21,o,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,1,3,4.78,666
6,21,o,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,0.5,3,1,0,0,0.5,3,1,0,0,1,3,,667
6,21,o,c,0,0,0,0,4,0,0,0,0,4,1,0,0,0.5,4,1,0,0,0.5,4,1,0,0,0.5,4,1,0,0,1,4,1.78,740
6,21,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0.35,719
6,21,o,rc,0,1,0,20,4,0,1,0,10,4,0,1,0,10,4,0,1,0,5,4,0,1,0,10,6,0,1,0,10,6,,808
6,21,o,c,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,1,0,0,1,6,1,0,0,1,6,1,0,0,1,6,1.23,741
6,21,y,r,0,1,0,25,1,0,1,0,5,1,0,1,0,5,1,0,1,0,10,2,0,1,0,10,3,0,1,0,10,3,,836
6,21,o,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,0.5,3,1,0,0,1,3,5.99,745
6,21,y,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,1,3,1,0,0,1,3,,825
6,21,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0,1,2,,887
6,21,o,rc,0,1,0,5,5,0,1,0,1,5,0,1,0,1,5,0,1,0,5,5,0,1,0,10,5,0,1,0,10,5,,843
2,21,o,c,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,1,0,0,1,6,1,0,0,1,6,1,0,0,1,6,,164
2,21,o,c,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,1,0,0,1,5,5.66,167
2,21,o,c,0,0,0,0,3,0,0,0,0,3,1,0,0,0.5,3,1,0,0,1,3,1,0,0,1,3,1,0,0,1,3,1.08,242
6,21,o,rc,0,1,0,8,3,1,1,1,15,3,1,1,1,15,3,1,1,1,10,3,0,1,0,10,3,0,1,0,10,3,,871
6,21,o,r,0,1,0,10,1,0,1,0,25,1,0,1,0,25,1,0,1,0,10,1,0,1,0,10,1,0,1,0,10,1,,881
1,29,y,c,0,0,0,0,4,1,0,0,0,4,0,0,0,0.5,7,0,0,0,7,0.5,0,0,0,0,5,1,0,0,0.5,7,0.43,24
6,21,o,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,2,0,0,0,1,2,,831
6,21,o,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,1,3,0,0,0,1,2,,852
6,21,o,c,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0,1,3,0,0,0,1,2,,853
1,29,y,c,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,1,0,0,0.5,3,0.42,26
1,29,y,c,0,0,0,0,4,1,0,0,0,4,0,0,0,0.5,7,1,0,0,1,0.5,1,0,0,0.5,0.5,1,0,0,0.5,7,0.43,30
1,29,y,c,0,0,0,0,3,1,0,0,0.5,3,1,0,0,0.5,3,1,0,0,0.5,5,1,0,0,0.5,5,1,0,0,0.5,3,0.29,31
1,29,y,c,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0.5,0.5,1,0,0,0.5,1,0.02,33
1,29,y,c,0,0,0,0,4,0,0,0,0,4,1,0,0,5,5,1,0,0,1,5,1,0,0,1,5,1,0,0,0.5,5,0.56,37
6,21,o,c,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,1,0,0,1,2,0,0,0,1,2,,895
1,29,y,c,0,0,0,0,7,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,0,0,0,0,6,1,0,0,0.5,6,0.3,38
1,29,o,c,0,0,0,0,5,0,0,0,0,6,0,0,0,0,6,1,0,0,1,6,1,0,0,1,6,1,0,0,0.5,6,1.27,1
3,29,y,c,0,0,0,0,3,0,0,0,0,3,1,0,0,0.5,3,1,0,0,0.5,3,1,0,0,0.5,3,1,0,0,0.5,3,0.2,271
3,29,y,c,0,0,0,0,4,1,0,0,0,4,0,0,0,0.5,7,1,0,0,0.5,7,1,0,0,0.5,6,1,0,0,0.5,7,0.43,287
4,21,o,c,0,0,0,0,7,0,0,0,0,8,0,0,0,0,8,1,0,0,0.5,8,1,0,0,0.5,8,0,0,0,0.5,7,6.84,496
